Brandstofsoort,Leeftijd,km_2021,aantal_2021,km_2020,aantal_2020,km_2019,aantal_2019,km_2018,aantal_2018,km_2017,aantal_2017,km_2016,aantal_2016,km_2015,aantal_2015
Totaal,Totaal,11015,9484581,10660,9348088,12851,9532991,13004,9353259,13120,9148204,13241,8966391,13091,8854502
Totaal,0 jaar,9736,326377,8013,352115,11563,464594,11940,461152,11449,425794,10240,390270,10183,458355
Totaal,1 jaar,16257,402783,15755,491641,19852,491297,19590,453825,19271,415982,22088,482599,21440,413181
Totaal,2 jaar,16343,522128,15074,505955,19028,468787,18841,429849,21390,498145,20494,424777,20367,447496
Totaal,3 jaar,14614,533076,14012,484194,17518,446068,19924,513094,18757,439167,18766,458026,18751,540946
Totaal,4 jaar,12976,506935,12579,456782,17708,522986,16727,450992,16703,468134,16331,542001,15875,584184
Totaal,5 jaar,12101,464954,12786,509811,15058,450651,15275,467982,15089,535072,14874,575153,14042,492677
Totaal,6 jaar of ouder,9842,6728328,9531,6547590,11153,6688608,11286,6576365,11365,6365910,11383,6093565,11311,5917663
Benzine/benzine hybride/ethanol,Totaal,9762,7825005,9323,7677099,10876,7743270,10778,7552094,10748,7340554,10795,7150374,10748,7022312
Benzine/benzine hybride/ethanol,0 jaar,10403,221604,8462,252456,11177,359506,10333,370694,9581,337343,8815,291064,8574,277806
Benzine/benzine hybride/ethanol,1 jaar,15382,282717,14089,382891,16709,397656,15873,360213,14906,308671,15042,292837,14981,277751
Benzine/benzine hybride/ethanol,2 jaar,14406,407949,12928,410457,15369,372104,14315,318719,14315,303018,14210,286719,14520,303142
Benzine/benzine hybride/ethanol,3 jaar,12650,434856,11759,386916,13490,331455,13533,313540,13393,296358,13705,311187,14043,368033
Benzine/benzine hybride/ethanol,4 jaar,11184,411427,10205,345519,12603,326263,12541,307101,12739,320460,12789,374933,12583,415195
Benzine/benzine hybride/ethanol,5 jaar,10167,361745,10042,334910,11890,315717,12020,328085,11977,380044,11859,418974,11774,396332
Benzine/benzine hybride/ethanol,6 jaar of ouder,8778,5704706,8500,5563950,9839,5640569,9948,5553742,10032,5394660,10071,5174661,9927,4984053
Diesel/diesel hybrides,Totaal,18033,1136335,17944,1254966,22539,1428253,23101,1495776,23361,1518101,23675,1526287,23013,1554473
Diesel/diesel hybrides,0 jaar,16991,8105,17492,14402,21810,36254,22972,60329,19985,76064,17101,75328,14093,134804
Diesel/diesel hybrides,1 jaar,27545,17048,28899,36794,37685,62862,35337,81726,33804,82883,35052,141325,35823,115534
Diesel/diesel hybrides,2 jaar,29995,38866,27631,63667,34540,84344,33164,86740,34009,146031,34600,118040,33836,118403
Diesel/diesel hybrides,3 jaar,25731,64554,23888,84235,30048,89741,31030,150273,30585,122535,30276,120719,29518,157630
Diesel/diesel hybrides,4 jaar,21410,81101,20193,86191,26637,147513,26063,123716,25492,121641,24744,151960,24317,159530
Diesel/diesel hybrides,5 jaar,19557,77562,18692,126640,23209,114517,23348,114363,23218,140571,23276,147065,23579,91242
Diesel/diesel hybrides,6 jaar of ouder,16257,849098,15806,843037,18851,893022,19174,878630,19392,828376,19395,771850,19355,777330
LPG/ LPG hybrides,Totaal,12579,107199,12224,112905,14372,134382,14933,145178,15483,155943,15861,167708,15963,180914
LPG/ LPG hybrides,0 jaar,9380,2239,6713,2010,17697,518,15107,982,12755,1211,10192,873,13084,382
LPG/ LPG hybrides,1 jaar,18413,2055,20752,578,25327,1044,24318,1254,24648,932,25677,445,23669,1105
LPG/ LPG hybrides,2 jaar,20881,633,20724,1095,23830,1315,23300,985,24902,502,23315,1161,21355,2286
LPG/ LPG hybrides,3 jaar,19009,1141,18575,1377,22418,1033,23443,547,22541,1222,20905,2336,18670,9165
LPG/ LPG hybrides,4 jaar,17482,1433,17743,1087,21996,612,21223,1288,20183,2368,18303,9186,17999,8016
LPG/ LPG hybrides,5 jaar,17667,1141,17422,692,20215,1386,19165,2417,17618,9199,17833,8060,19445,4608
LPG/ LPG hybrides,6 jaar of ouder,12272,98557,12021,106066,14008,128474,14619,137705,15132,140509,15462,145647,15468,155352
Full elektrisch/waterstof,Totaal,15144,250765,12478,177005,13452,108602,14161,46532,15679,21735,16803,13649,15817,10426
Full elektrisch/waterstof,0 jaar,5873,61379,4492,67029,7656,62565,8693,24498,8900,8116,9346,4091,9781,3475
Full elektrisch/waterstof,1 jaar,17172,77009,18095,64074,23854,24607,22877,8058,20855,3989,20412,3049,24595,2964
Full elektrisch/waterstof,2 jaar,20228,65262,17537,25063,22075,8139,20959,3968,20578,2981,24421,2839,17951,2582
Full elektrisch/waterstof,3 jaar,19188,25656,16734,8317,18168,4154,20079,3144,22003,2994,19266,2664,8928,485
Full elektrisch/waterstof,4 jaar,16485,8499,15594,4288,18152,3241,19486,3200,18605,2722,8677,420,8054,733
Full elektrisch/waterstof,5 jaar,13481,4355,13538,2834,14871,2409,16503,2767,8482,386,8014,409,7702,76
Full elektrisch/waterstof,6 jaar of ouder,12029,8605,11898,5400,12948,3487,8154,897,7715,547,7364,177,7649,111
Plug-in hybrides,Totaal,14516,155086,15423,115663,22594,106524,25036,103192,26278,102173,23065,99945,17892,78565
Plug-in hybrides,0 jaar,10685,33008,7292,16156,13115,5445,10532,3624,8493,1781,4808,18297,8185,41213
Plug-in hybrides,1 jaar,15391,23873,15609,6995,21568,3896,18902,1280,25589,18825,27285,44255,29071,12499
Plug-in hybrides,2 jaar,16306,9102,16163,4429,18326,1583,28176,18747,28001,44909,28152,12662,29088,20428
Plug-in hybrides,3 jaar,15049,5632,12837,2042,27567,18982,27225,44874,26829,12641,27403,20426,25068,4402
Plug-in hybrides,4 jaar,12791,3180,19840,19006,25273,44641,24229,12294,25853,20229,21759,4281,NaN,NaN
Plug-in hybrides,5 jaar,17170,19401,16487,43946,18033,12420,21782,19645,18066,3766,NaN,NaN,NaN,NaN
Plug-in hybrides,6 jaar of ouder,15177,60889,15483,23089,17740,19556,16676,2728,NaN,NaN,NaN,NaN,NaN,NaN
CNG/CNG hybrides/LNG,Totaal,19216,10193,18043,10450,24803,11961,25528,10486,23492,9698,24571,8427,25965,7811
CNG/CNG hybrides/LNG,0 jaar,10662,42,13322,62,12868,306,23371,1025,15478,1279,11853,617,14209,675
CNG/CNG hybrides/LNG,1 jaar,23618,81,23428,309,34178,1232,35437,1294,37809,682,28753,688,29002,3328
CNG/CNG hybrides/LNG,2 jaar,27840,316,21876,1244,36917,1302,36741,690,28188,704,28097,3356,25999,655
CNG/CNG hybrides/LNG,3 jaar,23763,1237,24186,1307,34912,703,27181,716,25804,3417,22833,694,29175,1231
CNG/CNG hybrides/LNG,4 jaar,26330,1295,23241,691,27209,716,23691,3393,20397,714,25732,1221,29165,689
CNG/CNG hybrides/LNG,5 jaar,25850,748,16775,788,20560,4202,20661,705,22225,1107,25354,623,24773,418
CNG/CNG hybrides/LNG,6 jaar of ouder,15736,6473,15273,6049,20612,3499,21822,2663,19534,1796,18407,1228,16330,815
